Car_Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Price(INR)
Hyundai Verna FLUIDIC 1.6 VTVT EX,2013,60000,Petrol,Manual,215000
Hyundai Elite i20 MAGNA 1.2,2017,63900,Petrol,Manual,375000
Hyundai i20 Active 1.4 SX,2017,110000,Diesel,Manual,419000
Hyundai i10 MAGNA 1.1,2012,17900,Petrol,Manual,250000
Hyundai i20 MAGNA 1.2,2013,58700,Petrol,Manual,180000
Hyundai VENUE SX 1.5 CRDI,2021,45520,Diesel,Manual,832000
Hyundai Verna FLUIDIC 1.6 VTVT SX,2011,82160,Petrol,Manual,150000
Hyundai i10 ERA 1.1,2012,36630,Petrol,Manual,229000
Hyundai i10 SPORTZ 1.1,2014,55370,Petrol,Manual,291000
Hyundai VENUE SX 1.2 PETROL,2022,25690,Petrol,Manual,831000
Hyundai VENUE SX PLUS 1.0 TURBO DCT,2022,39760,Petrol,Auto,875000
Hyundai i20 SPORTZ 1.2,2012,66200,Petrol,Manual,200000
Hyundai i20 SPORTZ 1.2,2012,35700,Petrol,Manual,231000
Hyundai Elite i20 MAGNA EXECUTIVE 1.2,2018,41690,Petrol,Manual,383000
Hyundai i20 MAGNA 1.2,2013,21810,Petrol,Manual,352000
Hyundai i20 ASTA 1.2,2012,120000,Petrol,Manual,252999
Hyundai i10 ERA 1.1,2013,21300,Petrol,Manual,158000
Hyundai i10 SPORTZ 1.1,2014,96560,Petrol,Manual,252999
Hyundai Eon SPORTZ,2014,69310,Petrol,Manual,137000
Hyundai i10 MAGNA 1.2,2013,39220,Petrol,Manual,159000
Hyundai Elite i20 SPORTZ 1.2,2016,67900,Petrol,Manual,358000
Hyundai i20 SPORTZ 1.2,2011,99310,Petrol,Manual,157000
Hyundai i10 ERA 1.1,2013,87010,Petrol,Manual,145000
Hyundai i20 SPORTZ 1.2,2012,75060,Petrol,Manual,148000
Hyundai i20 MAGNA 1.2,2013,73100,Petrol,Manual,190000
Hyundai i20 SPORTZ 1.2,2013,32560,Petrol,Manual,209000
Hyundai i10 SPORTZ 1.2 AT,2012,7550,Petrol,Auto,216000
Hyundai i20 SPORTZ 1.2,2012,61900,Petrol,Manual,249000
Hyundai Verna 1.6 VTVT SX O,2017,77190,Petrol,Manual,593000
Hyundai i10 SPORTZ 1.2,2012,46310,Petrol,Manual,161000
Hyundai Verna FLUIDIC 1.6 VTVT SX,2012,76890,Petrol,Manual,266000
Hyundai Verna FLUIDIC 1.6 VTVT SX,2011,87000,Petrol,Manual,190000
Hyundai Verna 1.6 VTVT SX AT,2016,62580,Petrol,Auto,642000
Hyundai Creta E 1.5 PETROL,2024,13280,Petrol,Manual,1050000
Hyundai i20 MAGNA 1.2,2010,48830,Petrol,Manual,136000
Hyundai i20 MAGNA 1.2,2012,87480,Petrol,Manual,130000
Hyundai Eon SPORTZ,2015,35100,Petrol,Manual,182000
Hyundai i20 MAGNA 1.2,2011,73470,Petrol,Manual,135000
Hyundai i10 SPORTZ 1.2,2011,44370,Petrol,Manual,156000
Hyundai i20 SPORTZ 1.2,2010,110000,Petrol,Manual,151000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2017,18290,Petrol,Manual,348000
