Car_Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Price(INR)
Hyundai Creta SX PLUS 1.6 PETROL,2015,52310,Petrol,Manual,654000
Hyundai ALCAZAR 1.5 SIGNATURE (O) AT 6STR,2021,180000,Diesel,Auto,1237000
Hyundai Creta SX (O) IVT 1.5 PETROL,2021,31340,Petrol,Auto,1300000
Hyundai Creta SX AT 1.6 PETROL,2018,27870,Petrol,Auto,893000
Hyundai VENUE SX (O) 1.5 CRDI,2019,66500,Diesel,Manual,713000
Hyundai New Elantra 1.6 SX AT DIESEL,2013,180000,Diesel,Auto,315000
Hyundai Elite i20 ASTA 1.2,2018,38030,Petrol,Manual,503000
Hyundai Xcent S AT 1.2,2018,46900,Petrol,Auto,394000
Hyundai NEW I20,2025,2950,Petrol,Auto,919000
Hyundai VENUE SX 1.0 (O) TURBO,2020,45120,Petrol,Manual,700000
Hyundai Elite i20 ASTA 1.2 CVT,2018,27060,Petrol,Auto,534000
Hyundai NEW I20 ASTA (O) 1.2 MT,2022,59510,Petrol,Manual,737000
Hyundai New Elantra 1.8 S VTVT,2012,34200,Petrol,Manual,465000
Hyundai Santa Fe 4 WD AT,2014,130000,Diesel,Auto,499000
Hyundai Verna SX 1.5 l MPI,2023,18040,Petrol,Manual,1075000
Hyundai NEW I20,2024,15180,Petrol,Auto,849000
Hyundai Creta SX AT 1.6 PETROL,2019,46490,Petrol,Auto,885000
Hyundai VENUE SX PLUS 1.0 TURBO DCT,2021,46980,Petrol,Auto,846000
Hyundai New Elantra 1.6 SX MT DIESEL,2013,130000,Diesel,Manual,386000
Hyundai New Elantra 1.6 CRDI,2012,100000,Diesel,Manual,373000
Hyundai NEW I20,2021,20000,Petrol,Auto,719000
Hyundai Creta SX PLUS 1.6 PETROL,2017,34240,Petrol,Manual,774000
Hyundai VENUE SX PLUS 1.0 TURBO DCT,2020,34390,Petrol,Auto,802000
Hyundai VENUE SX PLUS 1.0 TURBO DCT,2020,63040,Petrol,Auto,765000
Hyundai Creta SX AT 1.6 PETROL,2019,83470,Petrol,Auto,940000
Hyundai Verna SX(O) 1.5 MPI IVT,2023,3120,Petrol,Auto,1400000
Hyundai Creta SX (O) AT 1.5 DIESEL,2022,41830,Diesel,Auto,1600000
Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,2022,51640,Petrol,Auto,873000
Hyundai Creta S PLUS 1.4 TURBO DCT,2022,34420,Petrol,Auto,1300000
Hyundai EXTER SX 1.2 MT Hy-CNG Duo,2024,13520,Petrol,Manual,890000
Hyundai New Elantra 2.0 SX(O) AT PETROL,2017,110000,Petrol,Auto,773000
Hyundai ALCAZAR 1.5 SIGNATURE (O) AT 6STR,2021,37330,Diesel,Auto,1662000
Hyundai Verna  SX (O) 1.5 VTVT IVT,2023,9070,Petrol,Auto,1600000
Hyundai EXTER SX 1.2 CNG MT,2024,8000,Petrol,Manual,801000
Hyundai Verna 1.6 VTVT SX + AT,2020,14590,Petrol,Auto,817000
Hyundai Verna 1.5 TURBO GDI MT SX,2023,18300,Petrol,Manual,1200000
Hyundai NEW I20 N LINE,2022,38900,Petrol,Manual,700000
Hyundai i20 Active 1.2 SX,2018,17560,Petrol,Manual,635000
Hyundai Santa Fe 4 WD AT,2014,95590,Diesel,Auto,766000
Hyundai XCENT PRIME,2019,160000,Petrol,Manual,396000
Hyundai i10 MAGNA 1.2,2011,39600,Petrol,Manual,100000
Hyundai i20 MAGNA (O) 1.4 CRDI,2013,81470,Diesel,Manual,224000
Hyundai Verna FLUIDIC 1.6 CRDI SX,2013,130000,Diesel,Manual,319000
Hyundai Xcent S (O) 1.2,2014,94600,Petrol,Manual,280000
Hyundai Verna FLUIDIC 1.6 VTVT S O AT,2015,75030,Petrol,Auto,386000
Hyundai Elite i20 MAGNA 1.4 CRDI,2015,61360,Diesel,Manual,425000
Hyundai Elite i20 SPORTZ 1.2,2016,72900,Petrol,Manual,400000
Hyundai Creta SX AT 1.6 PETROL,2019,44620,Petrol,Auto,817000
Hyundai Creta SX PLUS 1.6 PETROL,2015,130000,Petrol,Manual,690000
Hyundai Eon D-LITE+,2014,7280,Petrol,Manual,142000
Hyundai Creta SX PLUS AT 1.6 DIESEL,2016,200000,Diesel,Auto,758000
Hyundai Creta SX 1.6 PETROL,2019,43660,Petrol,Manual,786000
Hyundai Creta SX PLUS 1.6 PETROL,2016,31810,Petrol,Manual,625000
Hyundai Elite i20 SPORTZ 1.2,2014,40410,Petrol,Manual,350000
Hyundai VENUE SX PLUS 1.0 TURBO DCT,2019,90040,Petrol,Auto,700000
Hyundai Verna FLUIDIC 1.6 VTVT SX AT,2014,96900,Petrol,Auto,426999
Hyundai Creta SX PLUS AT 1.6 PETROL,2017,63450,Petrol,Auto,727000
Hyundai i20 ASTA 1.2,2014,44900,Petrol,Manual,332000
Hyundai Creta SX PLUS AT 1.6 PETROL,2017,150000,Petrol,Auto,548000
Hyundai i10 MAGNA 1.1,2013,17870,Petrol,Manual,177000
Hyundai Elite i20 SPORTZ 1.2,2016,82570,Petrol,Manual,302000
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,2016,57730,Petrol,Manual,317000
Hyundai Verna FLUIDIC 1.4 VTVT,2012,64700,Petrol,Manual,275000
Hyundai Elite i20 MAGNA 1.2,2016,9420,Petrol,Manual,394000
Hyundai NEW I20 N LINE,2022,28610,Petrol,Manual,726000
Hyundai Creta S 1.4 DIESEL,2019,81380,Diesel,Manual,832000
Hyundai NEW I20 ASTA 1.0 GDI TURBO DCT,2020,71360,Petrol,Auto,672000
Hyundai VENUE SX 1.0 TURBO IMT,2020,63770,Petrol,Manual,687000
Hyundai i20 ASTA 1.2,2012,71710,Petrol,Manual,265000
Hyundai Grand i10,2018,55950,Petrol,Auto,400000
Hyundai Xcent S 1.2,2015,36890,Petrol,Manual,300000
Hyundai Grand i10,2013,21600,Petrol,Manual,254999
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2014,22070,Petrol,Manual,265000
